{2025-05-20 20:27:00,614}: INFO: main: Welcome to my custom log}

{2025-05-22 01:49:40,693}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 01:49:40,714}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 01:49:40,718}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 01:49:40,721}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 01:57:11,689}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 01:57:11,693}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 01:57:11,695}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 01:57:11,698}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 18:15:39,879}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 18:15:39,901}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 18:15:39,903}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 18:15:39,907}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 18:19:18,748}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 18:19:18,752}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 18:19:18,755}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 18:19:18,757}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 20:20:01,991}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 20:20:01,993}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 20:20:01,994}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 20:20:01,997}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 22:05:47,138}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 22:05:47,138}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 22:05:47,145}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 22:05:47,146}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 22:06:51,465}: INFO: 240432036: artifacts/data_ingestion/data.zip downloaded from S3!}
{2025-05-22 23:38:02,856}: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<}
{2025-05-22 23:38:02,858}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 23:38:02,859}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 23:38:02,860}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 23:38:02,861}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 23:47:48,764}: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<}
{2025-05-22 23:47:48,771}: INFO: mutuals: yaml file: config\config.yaml loaded successfully}
{2025-05-22 23:47:48,771}: INFO: mutuals: yaml file: params.yaml loaded successfully}
{2025-05-22 23:47:48,771}: INFO: mutuals: created directory at: artifacts}
{2025-05-22 23:47:48,771}: INFO: mutuals: created directory at: artifacts/data_ingestion}
{2025-05-22 23:48:51,444}: INFO: data_ingestion: artifacts/data_ingestion/data.zip downloaded from S3!}
{2025-05-22 23:48:52,427}: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x}
